SO2;NO2;O3;PM2.5;PM10
12,07;26,21;50,27;30,13;49,60
9,96;26,41;50,73;39,43;63,53
13,04;28,18;59,66;30,05;51,60
14,11;30,43;45,04;35,74;59,89
16,47;25,97;46,35;22,80;39,99
18,49;26,10;44,78;24,13;42,33
18,13;30,43;47,13;31,89;55,36
12,89;29,31;49,71;32,99;56,24
15,82;30,98;51,13;37,65;63,50
19,10;24,19;43,98;32,05;51,60
18,62;32,60;47,25;44,30;67,14
16,41;35,53;51,03;41,05;66,06
8,37;26,14;41,83;36,02;59,56
11,21;25,15;46,97;33,07;56,43
11,99;27,01;39,78;34,16;55,25
9,64;26,95;34,14;37,05;56,76
14,72;26,22;39,28;33,61;59,85
21,17;31,39;36,94;36,53;61,41
15,82;30,03;47,45;30,58;53,63
13,31;27,74;40,87;33,04;53,26
10,75;22,42;46,73;29,20;47,32
10,62;21,85;46,46;35,63;55,72
15,12;26,71;48,83;29,66;53,47
12,17;27,61;45,59;36,69;57,49
11,01;26,06;47,37;29,55;51,38
17,97;28,67;46,88;31,70;53,07
32,24;30,12;41,89;26,24;47,97
15,77;28,32;46,28;28,76;48,29
15,99;25,80;50,21;27,48;47,79
16,68;26,19;42,21;29,65;52,04
15,59;26,84;45,92;29,98;50,13
15,07;29,78;48,50;30,82;52,57
17,95;25,88;45,98;30,45;53,81
16,11;28,16;47,15;30,54;54,31
13,71;29,70;48,90;30,48;53,63
14,45;28,91;48,02;28,83;52,61
13,18;28,27;49,12;29,69;50,80
13,59;27,07;49,92;28,85;49,08
15,11;29,63;47,83;31,19;52,96
14,37;30,73;48,12;41,02;63,22
14,63;26,15;47,03;38,01;56,41
12,01;26,27;48,68;29,36;51,46
16,06;29,42;49,42;32,89;55,54
16,72;30,15;49,17;31,12;55,07
15,61;30,87;50,80;30,79;51,05
14,93;28,89;49,04;30,61;50,86
15,48;29,45;47,69;30,38;53,00
14,90;31,65;46,95;32,14;55,96
16,00;31,27;50,66;31,60;53,87
16,78;27,36;49,39;29,50;50,23
15,17;30,98;48,92;31,83;52,02
15,28;32,48;50,79;32,06;56,60
14,74;29,86;48,32;31,69;53,86
14,99;28,45;50,99;28,58;51,74
15,61;30,13;50,08;29,65;49,29
14,62;27,49;50,62;31,17;53,31
15,26;27,21;50,69;29,44;51,32
12,24;29,93;51,51;31,02;51,07
16,18;32,47;35,23;35,25;59,94
14,02;28,16;49,57;29,51;50,92
16,42;30,76;49,59;30,53;53,39
15,18;31,53;49,31;32,90;54,91
18,62;30,02;49,89;33,06;56,21
16,06;30,84;49,72;30,12;51,39
24,24;32,53;43,60;32,98;57,94
18,43;31,39;45,55;30,11;51,52
19,27;33,01;44,10;34,27;57,37
15,39;31,25;46,72;31,74;57,12
17,31;28,34;44,27;33,49;55,37
17,49;33,36;45,38;31,55;57,04
13,66;30,20;48,89;30,30;51,32
10,86;27,59;49,08;28,95;50,98
13,60;28,34;45,75;30,11;52,44
13,63;30,31;44,96;31,39;52,64
13,70;29,49;44,17;31,90;52,07
10,60;27,05;46,49;27,58;47,41
12,78;27,87;44,23;30,74;52,76
10,93;26,35;45,39;29,55;48,17
10,91;27,09;47,69;30,32;53,38
12,18;29,19;48,43;28,08;49,73
12,97;27,85;46,31;30,25;51,57
12,47;28,51;47,53;29,31;50,59
12,84;29,79;47,18;28,85;47,87
13,78;29,95;44,06;32,47;55,34
13,26;27,60;46,28;29,00;51,65
13,01;27,15;46,29;31,33;53,00
14,84;27,88;42,27;25,91;47,09
13,24;30,36;45,96;27,93;51,40
17,72;29,66;47,81;29,19;51,69
31,05;29,48;46,69;39,02;58,95
9,35;24,35;48,17;23,37;43,05
10,86;25,99;47,46;27,12;46,73
15,32;29,28;47,84;28,76;49,75
18,80;27,58;39,26;24,15;42,62
14,43;29,98;49,31;29,41;52,77
15,48;31,66;46,74;32,55;58,99
15,62;30,44;47,18;31,88;55,37
15,77;29,28;49,80;31,36;51,29
15,55;29,44;51,15;31,71;54,27
15,60;27,23;48,39;33,55;57,53
13,59;29,50;49,97;30,50;53,90
14,66;28,87;46,46;32,36;57,59
15,95;29,92;49,73;32,49;55,89
14,40;29,73;52,46;31,99;54,53
14,81;29,66;49,13;30,55;52,81
14,03;30,41;50,20;29,88;52,12
16,18;30,63;49,16;30,75;51,79
12,71;32,55;39,88;35,27;43,25
12,10;31,37;40,45;34,13;43,95
9,22;30,76;34,48;32,42;49,24
15,14;31,92;38,77;31,11;42,78
8,29;24,03;40,45;25,46;33,59
7,87;24,42;42,93;21,22;32,60
9,94;26,31;40,82;23,81;35,65
9,44;22,68;42,50;24,32;35,95
8,62;20,96;41,89;19,65;32,21
11,81;24,08;33,77;27,54;42,57
11,09;28,80;34,84;27,30;43,55
11,29;29,43;39,72;25,30;39,98
11,45;28,01;42,13;29,37;47,89
12,67;27,75;42,07;29,11;46,12
10,64;24,59;39,56;27,18;44,05
28,69;29,08;36,29;31,36;51,57
15,33;27,89;46,33;32,39;53,06
13,59;27,35;43,53;31,47;53,02
12,27;29,48;35,74;27,39;44,69
21,08;25,90;36,40;25,95;40,15
19,90;31,62;39,00;27,48;40,47
10,52;26,52;34,72;27,13;39,75
10,49;24,67;28,89;26,54;41,35
13,44;28,96;32,25;42,66;52,66
12,97;32,11;31,12;41,39;56,58
11,60;32,60;30,91;34,70;49,16
13,57;34,92;31,21;40,29;59,50
11,90;30,35;35,49;30,66;46,42
11,79;29,88;30,84;24,05;39,94
9,00;26,65;29,08;26,62;38,61
8,32;25,97;25,52;20,48;34,39
14,30;32,74;24,22;29,38;43,19
21,55;37,29;25,28;36,26;56,78
17,76;33,07;23,77;38,06;66,90
15,33;32,75;33,57;36,74;64,54
10,95;27,60;32,34;34,49;55,12
5,74;17,80;36,93;20,41;32,87
10,10;16,88;29,13;15,93;19,43
27,74;31,45;21,67;34,98;57,10
13,82;31,45;32,15;37,58;66,60
10,60;27,21;32,42;30,51;50,78
13,21;29,00;30,40;33,37;76,23
8,14;17,59;35,22;23,18;37,36
33,11;38,88;30,95;34,50;53,09
28,28;50,35;31,02;60,67;92,28
23,00;54,94;32,37;70,73;116,52
26,60;59,11;34,41;63,82;107,46
23,60;47,33;34,11;63,36;96,73
26,94;49,57;31,69;61,18;90,89
13,85;33,87;44,39;46,67;94,22
9,39;24,15;43,54;19,25;46,05
9,82;18,75;35,26;15,39;19,16
12,58;22,54;35,75;21,63;32,43
25,60;36,16;35,18;38,68;63,80
18,65;34,31;38,67;42,13;66,49
20,11;35,99;36,59;33,51;62,07
33,78;43,16;31,76;33,19;74,21
21,86;35,35;34,65;36,25;64,02
16,94;39,02;43,98;24,54;51,36
10,53;24,45;31,52;22,65;39,41
20,63;34,27;35,47;35,35;72,43
18,05;32,07;32,15;40,19;64,29
19,06;34,24;30,15;34,97;62,30
26,10;43,41;32,00;53,00;79,44
23,97;44,49;37,00;48,12;92,43
22,05;35,27;34,37;41,90;77,24
5,37;15,03;32,26;15,23;28,08
7,03;15,19;34,53;14,93;24,57
13,59;20,74;32,48;17,25;25,47
14,75;33,71;28,40;33,58;58,87
18,87;39,00;31,84;36,62;70,72
28,13;45,90;33,31;39,90;92,99
10,80;31,40;33,56;30,09;50,22
12,66;26,96;30,31;44,63;49,24
16,98;30,66;32,95;40,86;72,75
14,90;30,13;35,35;30,21;49,08
13,33;25,04;40,11;31,55;55,59
11,46;24,53;37,10;25,78;39,95
21,55;26,60;28,36;27,73;33,67
33,62;34,32;29,50;51,30;59,94
35,39;37,17;29,42;45,89;59,38
27,15;31,51;31,40;41,74;51,13
27,84;32,07;31,18;39,33;59,41
32,54;33,54;27,82;40,41;58,44
31,57;35,01;30,98;41,71;61,70
34,11;36,79;33,07;48,45;58,72
30,80;36,11;31,64;52,46;65,91
22,13;32,23;36,00;43,93;60,56
12,74;26,98;32,35;39,60;52,08
33,06;28,57;33,01;35,21;40,79
20,69;33,02;36,67;51,92;60,92
24,38;37,69;37,95;49,16;77,10
15,02;36,19;37,66;51,63;77,90
22,87;35,65;40,02;50,10;89,56
25,15;43,45;38,84;66,70;92,92
22,21;42,67;46,98;52,93;91,65
21,09;35,74;46,26;46,89;90,35
18,19;37,80;47,56;44,35;81,47
19,03;25,46;34,46;28,50;33,31
19,70;30,04;31,12;31,80;37,73
21,35;31,92;36,86;35,94;64,49
6,91;20,08;35,59;27,99;34,03
24,95;29,57;31,08;38,73;58,17
43,18;36,42;30,26;35,04;52,39
30,29;38,06;33,32;37,21;74,35
28,18;35,45;36,71;32,73;69,06
18,27;32,41;39,50;30,40;70,55
18,73;37,94;38,10;31,72;75,82
14,35;33,37;39,97;32,73;82,74
15,39;23,44;38,39;22,24;42,92
30,63;32,34;39,01;30,43;55,90
13,75;29,35;38,51;28,49;52,93
16,99;30,77;39,58;32,03;63,13
11,19;29,68;35,87;31,35;65,99
11,90;27,10;37,68;31,04;69,75
16,23;38,34;29,00;37,26;79,07
15,76;35,35;46,46;37,88;82,46
14,58;25,37;48,89;32,34;73,72
19,15;30,53;31,75;19,53;32,87
22,91;28,59;32,31;22,35;36,69
36,52;35,68;26,80;30,42;52,58
29,48;37,37;32,72;33,42;60,75
19,25;34,15;36,18;35,75;72,61
18,27;32,14;46,58;28,91;60,02
16,35;33,20;52,40;32,09;75,33
18,02;36,52;51,48;38,76;90,90
10,99;30,39;60,61;25,91;62,02
13,22;24,82;38,62;20,03;39,27
22,22;37,18;43,95;36,20;82,28
15,57;39,96;49,38;46,66;98,83
25,94;42,69;50,34;46,37;95,62
15,88;32,14;49,33;34,99;71,78
11,90;32,29;46,96;32,76;66,00
25,96;41,40;53,49;43,25;88,64
18,21;39,46;50,06;41,36;85,56
23,48;39,08;48,21;39,62;73,77
8,54;23,07;48,87;28,27;61,91
9,68;19,60;44,50;23,70;38,24
11,39;21,94;41,70;24,19;38,47
13,53;30,48;40,34;30,40;65,12
14,91;30,77;42,58;36,29;79,01
24,30;36,64;44,56;35,49;69,68
24,62;42,30;53,81;38,13;86,33
20,55;35,78;56,66;33,63;75,71
18,78;42,55;58,61;39,17;88,13
14,22;30,63;66,96;35,65;63,62
13,52;36,22;64,23;33,67;82,83
13,59;37,36;63,93;40,39;78,83
11,67;34,32;64,36;32,72;72,57
12,39;28,56;54,99;36,53;82,07
10,11;23,22;42,89;27,52;46,19
14,85;29,56;49,92;31,94;67,57
14,43;23,64;54,80;27,82;52,69
6,92;18,91;52,73;26,71;48,58
14,82;27,17;47,73;29,53;59,29
15,14;29,80;43,98;29,45;64,32
12,68;29,47;47,16;34,65;75,75
10,65;28,12;46,19;32,44;72,85
22,83;28,78;41,77;27,33;56,96
19,12;29,29;46,82;29,77;55,78
14,89;29,20;48,09;28,33;64,04
12,72;33,22;51,21;36,76;78,98
14,55;34,04;53,55;38,84;85,85
10,66;25,58;56,29;27,23;68,32
13,74;30,22;56,57;31,82;61,14
7,68;27,16;58,20;22,10;62,69
7,17;26,21;64,04;30,69;41,14
6,14;23,42;46,82;25,98;39,95
9,07;24,81;45,80;26,79;37,10
8,76;25,40;43,07;17,53;40,63
14,64;34,47;44,46;23,75;44,39
9,60;34,78;47,70;24,50;51,06
11,11;39,52;51,36;29,59;58,21
13,49;30,48;52,19;26,69;58,43
13,99;31,38;50,44;29,97;74,20
10,88;29,51;53,97;28,26;55,64
13,19;33,55;51,08;32,95;78,04
20,86;42,29;51,04;34,06;81,00
11,64;32,47;55,69;26,01;54,53
7,75;27,27;55,94;24,16;53,14
7,94;26,57;50,72;25,28;49,69
10,35;31,74;50,90;29,32;44,95
7,71;28,33;54,07;33,08;61,50
8,89;30,35;58,34;38,96;82,43
5,44;19,49;44,76;19,06;27,87
8,90;31,67;47,58;26,60;47,34
10,18;22,03;54,16;27,60;46,23
6,67;19,56;54,15;26,66;44,93
8,04;26,87;46,34;31,08;52,83
7,56;23,85;44,52;27,94;44,91
9,78;25,00;44,04;36,16;54,22
12,53;25,00;47,68;28,96;50,21
8,63;22,51;58,34;37,20;51,30
9,56;19,68;62,18;41,43;51,72
8,61;19,70;60,80;45,39;53,18
11,30;23,23;45,11;30,96;41,32
20,54;21,59;40,49;22,83;40,32
14,52;19,69;45,26;31,16;42,89
12,60;23,38;41,32;31,43;56,95
18,01;21,64;53,44;32,17;57,74
7,59;13,74;51,95;21,04;34,64
10,77;17,95;46,47;21,67;34,79
12,50;24,51;44,14;34,25;63,65
13,52;25,14;50,51;25,14;41,23
19,42;26,78;58,91;29,04;71,16
15,69;29,67;53,19;30,82;86,14
20,03;24,20;56,59;32,79;82,20
13,52;23,66;55,34;26,83;64,55
7,67;15,16;59,88;23,23;57,09
9,00;15,77;48,24;20,05;50,16
18,74;25,89;45,71;31,21;71,57
11,90;25,29;53,66;28,06;74,63
13,22;20,56;62,19;25,01;59,88
14,72;28,67;52,94;28,52;67,95
27,30;25,94;58,47;32,73;68,89
10,90;20,28;50,11;25,24;50,84
9,24;21,80;56,36;20,24;39,39
17,46;21,92;33,27;22,51;39,61
10,90;20,98;42,77;19,32;34,88
12,03;22,03;45,92;19,98;44,09
11,66;18,68;41,17;18,81;38,94
11,09;24,91;39,96;22,46;51,53
23,60;20,91;50,25;23,51;55,95
12,56;22,78;49,08;22,71;54,83
13,27;19,78;52,18;25,67;56,91
19,96;25,13;43,06;24,74;52,63
11,49;21,90;43,41;28,81;51,40
8,84;17,23;52,13;20,16;32,15
9,82;18,17;47,33;25,34;45,89
14,50;19,07;44,26;22,90;42,52
10,10;17,17;48,84;25,61;44,86
7,34;19,33;50,35;29,78;64,29
19,11;23,75;50,86;31,76;53,46
15,51;22,25;51,06;35,64;58,50
14,44;19,69;29,58;22,88;29,91
13,55;16,14;29,57;24,19;38,96
9,05;16,51;42,76;22,15;37,35
8,01;19,62;37,37;23,26;39,98
12,50;22,40;45,36;28,24;52,23
8,40;18,05;53,24;29,75;45,47
8,16;16,73;44,65;21,68;35,66
12,63;19,78;46,25;27,19;49,35
15,38;19,38;54,56;35,27;61,22
13,16;19,95;53,52;30,81;59,45
8,83;16,09;52,51;27,59;48,37
17,66;18,16;53,85;39,08;87,54
11,02;17,77;52,33;29,29;46,87
13,94;21,22;49,28;44,19;63,03
11,51;14,81;54,82;41,11;72,79
13,23;15,62;49,41;27,78;47,98
18,22;14,85;51,76;37,54;64,66
7,59;12,91;39,16;35,25;62,53
7,23;11,51;37,99;28,14;50,46
7,81;17,12;43,69;27,30;47,01
29,58;18,29;46,52;30,88;55,73
10,69;17,61;46,24;43,32;64,95
9,07;17,79;42,87;29,63;48,98
13,28;21,83;48,39;30,67;50,61
13,58;22,27;49,39;30,77;52,39
11,67;22,54;51,22;29,09;49,76
15,06;22,52;53,38;33,77;53,33
12,52;22,05;52,45;32,43;53,49
11,29;25,33;50,48;28,42;47,06
15,55;25,23;51,54;29,80;51,66
15,08;29,74;54,14;32,28;55,90
13,29;29,62;54,37;28,54;50,86
15,91;25,49;55,07;34,84;58,73
14,50;24,39;58,52;31,56;53,84
11,23;19,86;57,75;36,94;53,44
15,91;25,19;55,30;42,67;63,63
22,92;23,93;51,08;35,59;55,03
20,94;19,16;46,20;25,82;46,05
13,89;17,01;38,64;27,89;46,04
19,48;16,99;37,49;21,79;38,92
20,48;18,60;36,12;28,28;43,76
26,12;20,86;42,39;26,89;38,11
24,47;25,20;38,98;28,39;47,66
12,33;20,74;49,88;42,36;53,88
16,27;16,61;43,21;37,24;46,26
14,45;21,44;42,90;44,60;56,63
9,55;21,68;47,75;31,53;52,22
24,21;21,64;47,23;35,88;46,75
28,49;25,16;46,78;37,82;58,12
30,58;22,20;42,35;40,40;54,66
15,06;22,75;48,24;28,28;51,99
11,59;26,54;46,35;37,23;50,92
11,31;27,24;46,69;32,49;47,86
26,16;29,44;48,20;37,85;56,29
12,91;25,83;50,06;35,19;61,95
13,36;32,72;57,23;44,28;80,33
17,09;35,06;49,30;40,26;69,30
18,01;31,95;49,07;49,12;78,64
15,73;29,57;43,00;42,40;65,29
11,55;28,29;41,62;44,32;72,56
11,85;22,72;37,98;32,06;54,53
10,65;27,29;54,78;40,18;62,67
8,60;24,47;36,61;49,34;62,13
7,94;23,92;35,68;46,64;90,40
4,31;13,05;35,71;14,35;27,56
7,98;19,62;32,52;15,67;29,23
13,47;27,06;30,49;25,33;47,90
11,92;27,96;35,04;42,27;76,03
13,33;29,64;37,06;52,35;81,87
10,89;25,67;33,58;37,84;63,47
10,00;26,99;30,82;43,91;69,14
16,65;24,89;37,83;48,15;63,72
14,09;22,51;29,96;46,05;62,93
9,71;22,30;30,65;28,83;43,17
9,68;22,29;24,15;35,51;51,57
9,08;23,84;27,65;30,71;45,37
10,92;20,62;25,68;19,66;35,63
16,77;25,49;25,30;27,72;44,42
12,91;23,46;28,69;31,65;49,33
16,78;26,03;30,70;29,10;45,85
21,45;29,11;36,54;32,15;48,94
19,83;26,92;32,39;24,39;46,15
18,16;26,49;38,17;34,32;53,18
21,43;26,44;39,05;34,00;51,29
21,87;20,89;32,84;21,86;30,39
14,07;18,90;29,08;28,00;41,57
11,09;19,51;32,84;26,45;55,42
19,44;26,72;35,28;22,17;46,24
13,13;23,76;29,09;29,80;47,86
13,63;21,98;28,38;27,32;43,04
13,92;23,99;34,87;28,60;47,32
23,14;25,79;42,41;33,06;50,61
16,41;23,46;40,17;23,99;39,03
24,99;20,60;39,44;21,55;37,36
14,42;24,95;32,29;24,56;35,89
9,37;20,92;32,63;24,28;38,99
28,59;30,53;36,51;35,75;55,20
16,75;26,49;29,83;26,75;39,76
7,92;25,02;27,87;29,61;38,95
5,32;14,70;35,79;17,63;28,58
11,82;20,16;30,05;18,34;38,65
10,78;21,38;31,20;23,17;41,24
18,20;31,23;37,03;36,86;64,06
12,00;21,85;31,81;27,93;45,50
31,74;31,50;29,17;31,85;54,62
22,48;35,13;38,07;42,12;72,01
21,49;24,31;40,47;29,84;55,07
20,73;25,03;31,98;21,27;39,96
18,86;27,32;35,99;32,28;56,69
25,95;31,86;38,90;41,50;68,29
11,19;24,02;31,60;28,38;65,03
6,82;16,98;31,42;16,97;25,58
9,14;24,12;28,17;29,96;40,72
8,18;17,95;35,86;16,01;28,38
21,50;20,69;34,46;19,49;42,34
28,56;23,50;32,36;22,41;40,86
25,07;32,76;28,96;26,73;44,47
20,38;26,91;38,93;28,44;43,21
31,09;29,75;37,70;28,48;45,32
32,24;24,90;34,68;18,36;33,63
11,43;18,21;43,57;16,84;29,92
11,86;15,86;42,57;18,33;41,59
8,74;19,68;43,69;13,40;21,00
14,12;16,56;34,09;18,55;28,51
13,87;23,97;35,17;32,71;41,80
11,43;24,70;35,08;32,30;54,42
27,13;33,61;38,19;36,97;73,17
24,92;30,13;40,46;34,35;65,32
13,54;26,47;44,23;36,35;63,31
30,75;36,33;38,28;36,07;76,80
17,06;25,12;46,48;29,27;58,47
21,02;26,14;42,00;26,81;51,76
19,44;30,58;38,77;26,30;59,64
10,95;26,93;36,70;30,84;66,37
13,35;23,57;40,86;27,96;65,11
7,02;20,66;41,99;18,99;38,36
12,03;26,94;33,35;22,95;40,98
14,26;25,04;29,34;27,53;44,34
7,39;24,90;29,83;26,81;42,70
10,60;27,08;30,32;27,07;42,34
18,92;21,72;38,66;21,36;38,78
12,04;22,96;32,29;22,79;40,50
10,68;23,21;32,76;22,57;34,00
20,05;27,97;29,14;29,24;48,03
14,60;25,73;36,12;35,71;59,72
16,82;33,20;39,86;37,62;65,47
19,27;36,55;49,06;39,27;67,76
12,45;32,06;39,52;36,58;65,15
12,48;30,98;35,59;38,21;75,25
14,14;29,96;41,62;41,29;77,38
20,62;34,39;38,87;41,86;85,33
22,03;33,40;38,97;43,28;87,26
15,97;34,23;39,85;42,97;87,59
19,02;38,32;33,05;48,47;102,09
24,45;42,12;26,58;41,02;91,70
16,76;37,74;34,12;38,17;81,98
14,29;30,98;39,69;38,15;69,47
13,02;31,84;41,57;34,42;72,73
9,26;23,65;31,94;36,80;62,67
26,99;45,90;22,09;56,04;97,66
19,71;43,28;29,14;64,30;109,68
11,01;37,85;25,98;55,23;101,65
10,24;32,65;26,65;46,62;95,61
8,25;20,44;26,84;31,02;61,79
25,97;30,91;21,15;27,62;57,70
17,17;40,13;28,65;40,99;86,15
14,00;36,11;29,52;53,74;95,91
23,32;35,27;26,07;73,27;119,61
25,13;55,02;35,14;68,64;121,96
22,46;46,31;42,59;65,72;92,80
27,49;50,24;41,08;64,34;95,48
27,57;52,41;30,75;68,39;104,01
22,19;48,64;26,73;71,19;114,61
20,61;37,05;29,66;59,72;100,72
25,62;44,83;23,71;54,60;104,60
13,11;40,01;38,37;54,56;99,35
18,52;37,50;23,63;51,87;89,97
19,96;30,86;30,76;34,34;70,49
20,21;39,55;35,80;36,02;69,74
20,94;39,35;32,81;42,85;91,32
10,67;30,45;33,60;39,85;90,96
10,69;33,12;27,47;41,88;82,86
4,96;22,38;31,09;26,08;69,44
3,66;9,80;31,79;12,14;22,46
10,43;18,39;29,19;19,35;35,86
21,35;43,01;22,31;52,86;84,72
21,69;48,48;29,92;75,78;118,50
37,29;55,41;22,45;66,20;109,98
29,09;56,57;33,17;73,53;124,27
14,15;40,54;27,36;45,63;82,54
16,73;42,25;22,75;58,14;94,95
16,29;44,10;16,53;62,26;94,52
19,13;47,10;22,50;51,70;90,04
20,36;44,90;27,61;47,19;95,48
22,75;44,15;28,23;45,88;88,18
16,66;35,44;33,91;50,58;97,26
8,12;26,39;39,52;30,13;81,19
8,45;25,03;35,80;26,81;38,79
4,86;15,97;34,10;23,28;24,55
5,82;25,11;22,40;25,74;35,54
11,15;35,19;23,21;39,35;56,66
11,03;31,79;27,01;43,93;64,02
28,19;52,19;19,00;56,86;95,15
15,74;44,40;26,34;60,31;98,65
14,73;40,09;27,09;54,18;84,30
15,98;38,26;31,73;43,60;70,11
20,71;49,53;35,99;57,09;89,32
24,38;56,50;39,16;63,59;99,76
19,25;45,07;37,44;53,70;94,28
19,55;48,63;35,89;58,09;98,00
11,67;36,76;46,07;38,24;69,18
13,00;27,90;42,80;31,33;67,12
29,62;18,58;39,96;15,43;20,60
20,82;35,92;24,85;30,22;56,14
